,open,high,low,close,volume,value,middleBand,upperBand,sellingPrice,prevHigh,prevMiddle,prevClose,prevSellingPrice,isBuying,isSelling,ror
2024-03-22 17:00:00,15010.0,15010.0,14990.0,14990.0,1238.47172837,18584365.6216639,15008.0,15046.16860103884,15042.351740934957,15010.0,15011.0,15010.0,15048.348430531376,False,False,1.0
2024-03-22 17:01:00,15030.0,15050.0,15010.0,15050.0,705.23585149,10596625.289704,15008.0,15046.16860103884,15042.351740934957,15010.0,15008.0,14990.0,15042.351740934957,False,True,1.001721555684411
2024-03-22 17:02:00,15040.0,15050.0,15030.0,15030.0,766.04688093,11514627.9891519,15008.5,15047.581561138875,15043.673405024987,15050.0,15008.0,15050.0,15042.351740934957,False,True,1.0
2024-03-22 17:03:00,15030.0,15030.0,15010.0,15020.0,1006.60048004,15118940.4160506,15009.0,15048.416801119894,15044.475121007905,15050.0,15008.5,15030.0,15043.673405024987,False,False,1.0
2024-03-22 17:04:00,15020.0,15050.0,15020.0,15040.0,1094.30248612,16466028.527573,15010.5,15052.288943387846,15048.11004904906,15030.0,15009.0,15020.0,15044.475121007905,False,True,1.0
2024-03-22 17:05:00,15040.0,15090.0,15040.0,15080.0,4551.63607779,68549756.6642832,15012.5,15063.127639632277,15058.06487566905,15050.0,15010.5,15040.0,15048.11004904906,False,True,1.0
2024-03-22 17:06:00,15080.0,15100.0,15060.0,15070.0,5034.18135635,75945830.6745958,15015.0,15071.754318175605,15066.078886358044,15090.0,15012.5,15080.0,15058.06487566905,False,True,1.0
2024-03-22 17:07:00,15090.0,15150.0,15070.0,15140.0,7682.54917838,116023010.8384135,15021.0,15100.710000693294,15092.739000623966,15100.0,15015.0,15070.0,15066.078886358044,False,True,1.0
2024-03-22 17:08:00,15150.0,15150.0,15100.0,15100.0,7287.11434403,110246059.3582213,15025.0,15112.177978870806,15103.460180983726,15150.0,15021.0,15140.0,15092.739000623966,False,True,1.0
2024-03-22 17:09:00,15120.0,15130.0,15090.0,15120.0,5648.94725704,85351515.4354664,15031.0,15127.004385864719,15117.403947278246,15150.0,15025.0,15100.0,15103.460180983726,False,True,1.0
2024-03-22 17:10:00,15120.0,15120.0,15050.0,15060.0,10797.36531064,162783320.4976306,15033.0,15129.703562226874,15120.033206004187,15130.0,15031.0,15120.0,15117.403947278246,False,True,1.0
2024-03-22 17:11:00,15100.0,15100.0,15050.0,15070.0,2111.66314906,31841124.2804592,15037.0,15132.828794705638,15123.245915235075,15120.0,15033.0,15060.0,15120.033206004187,False,False,1.0
2024-03-22 17:12:00,15070.0,15100.0,15040.0,15080.0,2136.4243849,32163237.8101748,15040.5,15137.285166327549,15127.606649694793,15100.0,15037.0,15070.0,15123.245915235075,False,False,1.0
2024-03-22 17:13:00,15090.0,15090.0,15050.0,15050.0,30.51552898,460067.2439886,15042.5,15138.279351691921,15128.701416522728,15100.0,15040.5,15080.0,15127.606649694793,False,False,1.0
2024-03-22 17:14:00,15060.0,15060.0,15060.0,15060.0,605.58653449,9120133.2094194,15046.0,15138.770231159959,15129.493208043963,15090.0,15042.5,15050.0,15128.701416522728,False,False,1.0
2024-03-22 17:15:00,15090.0,15090.0,15060.0,15060.0,490.42905471,7400064.6949722,15050.0,15137.539464784377,15128.78551830594,15060.0,15046.0,15060.0,15129.493208043963,False,False,1.0
2024-03-22 17:16:00,15060.0,15130.0,15060.0,15100.0,953.14773114,14395019.0879422,15056.5,15138.134615980685,15129.971154382616,15090.0,15050.0,15060.0,15128.78551830594,False,True,1.0
2024-03-22 17:17:00,15100.0,15160.0,15090.0,15110.0,6931.06658369,104943528.4560753,15062.0,15142.419950391994,15134.377955352795,15130.0,15056.5,15100.0,15129.971154382616,False,True,1.0
2024-03-22 17:18:00,15130.0,15130.0,15090.0,15100.0,777.30219628,11742201.8499536,15067.0,15143.530007874437,15135.877007086992,15160.0,15062.0,15110.0,15134.377955352795,False,False,1.0
2024-03-22 17:19:00,15080.0,15090.0,15070.0,15090.0,576.28704742,8689286.0354688,15071.0,15143.22771009288,15136.004939083592,15130.0,15067.0,15100.0,15135.877007086992,False,False,1.0
2024-03-22 17:20:00,15090.0,15090.0,15070.0,15080.0,450.45384922,6796091.388789,15075.5,15136.878892308761,15130.741003077885,15090.0,15071.0,15090.0,15136.004939083592,False,False,1.0
2024-03-22 17:21:00,15080.0,15110.0,15080.0,15080.0,58.09796674,876133.2219599,15077.0,15137.210158261647,15131.189142435482,15090.0,15075.5,15080.0,15130.741003077885,False,False,1.0
2024-03-22 17:22:00,15110.0,15110.0,15100.0,15100.0,1560.86371448,23579442.1795778,15080.5,15137.245043836425,15131.570539452783,15110.0,15077.0,15080.0,15131.189142435482,False,False,1.0
2024-03-22 17:23:00,15100.0,15120.0,15080.0,15120.0,585.52208386,8844603.4701776,15085.5,15137.197500703081,15132.027750632773,15110.0,15080.5,15100.0,15131.570539452783,False,False,1.0
2024-03-22 17:24:00,15130.0,15160.0,15130.0,15130.0,2012.73334792,30470856.9237968,15090.0,15140.679592072443,15135.611632865199,15120.0,15085.5,15120.0,15132.027750632773,False,True,1.0
2024-03-22 17:25:00,15130.0,15130.0,15080.0,15090.0,5231.32087996,79057697.2576662,15090.5,15140.961032386103,15135.914929147493,15160.0,15090.0,15130.0,15135.611632865199,False,False,1.0
2024-03-22 17:26:00,15080.0,15100.0,15080.0,15100.0,546.73436248,8247156.4940563,15092.0,15141.672612383993,15136.705351145592,15130.0,15090.5,15090.0,15135.914929147493,False,False,1.0
2024-03-22 17:27:00,15090.0,15100.0,15090.0,15090.0,575.89968208,8691650.7058984,15089.5,15133.73620807959,15129.312587271632,15100.0,15092.0,15100.0,15136.705351145592,False,False,1.0
2024-03-22 17:28:00,15090.0,15100.0,15090.0,15100.0,1307.13140618,19729996.0473153,15089.5,15133.73620807959,15129.312587271632,15100.0,15089.5,15090.0,15129.312587271632,False,False,1.0
2024-03-22 17:29:00,15100.0,15100.0,15090.0,15090.0,335.45678542,5063017.9893146,15088.0,15129.85186910242,15125.666682192179,15100.0,15089.5,15100.0,15129.312587271632,False,False,1.0
2024-03-22 17:30:00,15090.0,15110.0,15080.0,15080.0,205.30719072,3097344.8334398,15089.0,15128.94733374935,15124.952600374414,15100.0,15088.0,15090.0,15125.666682192179,False,False,1.0
2024-03-22 17:31:00,15080.0,15110.0,15070.0,15070.0,1661.2613495,25052044.2393562,15089.0,15128.94733374935,15124.952600374414,15110.0,15089.0,15080.0,15124.952600374414,False,False,1.0
2024-03-22 17:32:00,15070.0,15070.0,15020.0,15030.0,5453.34317193,82033890.7283062,15086.5,15134.304426132865,15129.523983519579,15110.0,15089.0,15070.0,15124.952600374414,False,False,1.0
2024-03-22 17:33:00,15030.0,15090.0,15020.0,15050.0,382.12179234,5741410.5469475,15086.5,15134.304426132865,15129.523983519579,15070.0,15086.5,15030.0,15129.523983519579,True,False,1.0
2024-03-22 17:34:00,15090.0,15090.0,15050.0,15090.0,10.84528689,163367.8709531,15088.0,15134.157624676614,15129.541862208953,15090.0,15086.5,15050.0,15129.523983519579,False,False,1.0
2024-03-22 17:35:00,15090.0,15090.0,15050.0,15060.0,184.11222098,2774177.7730274,15088.0,15134.157624676614,15129.541862208953,15090.0,15088.0,15090.0,15129.541862208953,False,False,1.0
2024-03-22 17:36:00,15060.0,15060.0,15030.0,15030.0,188.05391104,2827246.3051911,15084.5,15137.005638794904,15131.755074915414,15090.0,15088.0,15060.0,15129.541862208953,False,False,1.0
2024-03-22 17:37:00,15040.0,15040.0,15030.0,15040.0,373.07605528,5610854.133442,15081.0,15135.637561785757,15130.17380560718,15060.0,15084.5,15030.0,15131.755074915414,False,False,1.0
2024-03-22 17:38:00,15030.0,15030.0,15010.0,15030.0,2121.79218331,31875151.5821801,15077.5,15135.85463270292,15130.019169432628,15040.0,15081.0,15040.0,15130.17380560718,False,False,1.0
2024-03-22 17:39:00,15010.0,15030.0,15010.0,15020.0,939.70856272,14111757.6709358,15074.0,15137.378561874351,15131.040705686915,15030.0,15077.5,15030.0,15130.019169432628,False,False,1.0
2024-03-22 17:40:00,15030.0,15050.0,15010.0,15050.0,1771.98562163,26633075.8627411,15072.5,15136.695425316582,15130.275882784925,15030.0,15074.0,15020.0,15131.040705686915,False,False,1.0
2024-03-22 17:41:00,15060.0,15060.0,15020.0,15060.0,507.43814374,7631825.8836218,15071.5,15135.826469954756,15129.39382295928,15050.0,15072.5,15050.0,15130.275882784925,False,False,1.0
2024-03-22 17:42:00,15020.0,15020.0,15020.0,15020.0,339.6195789,5101086.075078,15067.5,15134.267467653342,15127.590720888009,15060.0,15071.5,15060.0,15129.39382295928,False,False,1.0
2024-03-22 17:43:00,15020.0,15030.0,14990.0,14990.0,5327.84297306,79936308.1564883,15061.0,15131.457153833475,15124.411438450128,15020.0,15067.5,15020.0,15127.590720888009,False,False,1.0
2024-03-22 17:44:00,14990.0,15000.0,14980.0,14980.0,2747.92007465,41202771.3492131,15053.5,15124.958489974753,15117.812640977278,15030.0,15061.0,14990.0,15124.411438450128,False,False,1.0
2024-03-22 17:45:00,14980.0,15000.0,14980.0,14990.0,969.05509342,14528247.7375886,15048.5,15123.128906492115,15115.666015842904,15000.0,15053.5,14980.0,15117.812640977278,False,False,1.0
2024-03-22 17:46:00,15020.0,15030.0,15000.0,15030.0,140.01739406,2101887.3410124,15045.0,15115.93362353191,15108.840261178719,15000.0,15048.5,14990.0,15115.666015842904,False,False,1.0
2024-03-22 17:47:00,15030.0,15030.0,15020.0,15030.0,266.10465693,3999353.2599694,15042.0,15109.931854399123,15103.138668959211,15030.0,15045.0,15030.0,15108.840261178719,False,False,1.0
2024-03-22 17:48:00,15010.0,15030.0,15000.0,15020.0,2183.11073147,32773549.8526523,15038.0,15100.77780365366,15094.500023288294,15030.0,15042.0,15030.0,15103.138668959211,False,False,1.0
2024-03-22 17:49:00,15020.0,15020.0,15000.0,15020.0,730.82010763,10970132.4013556,15034.5,15092.71014561595,15086.889131054355,15030.0,15038.0,15020.0,15094.500023288294,False,False,1.0
2024-03-22 17:50:00,15010.0,15020.0,15000.0,15000.0,215.76269361,3239243.1496855,15030.5,15086.49812026919,15080.898308242271,15020.0,15034.5,15020.0,15086.889131054355,False,False,1.0
2024-03-22 17:51:00,15010.0,15010.0,14970.0,15000.0,5464.03822106,81860735.6407083,15027.0,15081.328435900245,15075.89559231022,15020.0,15030.5,15000.0,15080.898308242271,False,False,1.0
2024-03-22 17:52:00,14970.0,15000.0,14930.0,14930.0,2660.93697381,39802736.5362481,15022.0,15091.464114173388,15084.51770275605,15010.0,15027.0,15000.0,15075.89559231022,False,False,1.0
2024-03-22 17:53:00,14950.0,14960.0,14920.0,14960.0,1140.45082531,17023714.4499074,15017.5,15090.877179874364,15083.539461886927,15000.0,15022.0,14930.0,15084.51770275605,False,False,1.0
2024-03-22 17:54:00,14950.0,14950.0,14910.0,14950.0,451.7259918,6743964.4054006,15010.5,15081.426203308709,15074.333582977837,14960.0,15017.5,14960.0,15083.539461886927,False,False,1.0
2024-03-22 17:55:00,14930.0,14950.0,14930.0,14950.0,2180.09894707,32554634.7486443,15005.0,15076.818484645954,15069.636636181358,14950.0,15010.5,14950.0,15074.333582977837,False,False,1.0
2024-03-22 17:56:00,14940.0,14940.0,14910.0,14910.0,2243.57828106,33475498.6855636,14999.0,15081.308789579876,15073.077910621889,14950.0,15005.0,14950.0,15069.636636181358,False,False,1.0
2024-03-22 17:57:00,14900.0,14910.0,14880.0,14880.0,4609.3189426,68635221.6942964,14991.0,15086.564803034102,15077.008322730691,14940.0,14999.0,14910.0,15073.077910621889,False,False,1.0
2024-03-22 17:58:00,14910.0,14910.0,14860.0,14880.0,5983.13876604,89036917.7892257,14983.5,15089.185730750229,15078.617157675206,14910.0,14991.0,14880.0,15077.008322730691,False,False,1.0
2024-03-22 17:59:00,14880.0,14910.0,14880.0,14910.0,1977.96205082,29456599.1746884,14978.0,15087.082296310724,15076.174066679652,14910.0,14983.5,14880.0,15078.617157675206,False,False,1.0
2024-03-22 18:00:00,14890.0,14910.0,14880.0,14910.0,3041.76184814,45284789.9369366,14971.0,15078.585950951343,15067.827355856209,14910.0,14978.0,14910.0,15076.174066679652,False,False,1.0
2024-03-22 18:01:00,14910.0,14930.0,14910.0,14930.0,298.06897769,4449582.2276997,14964.5,15064.914928644781,15054.873435780302,14910.0,14971.0,14910.0,15067.827355856209,False,False,1.0
